application,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,Aggregate
ifwd,35.3,4.83,35.3,4.78,68.6,19.5,35.3,70.6,35.3,4.81,8.07,67.4,7.74,4.82,35.3,6.03,3.25,35.2,3.28,20.0,35.3,35.2,35.2,60.2,35.2,35.2,35.2,35.2,35.2,35.2,35.3,35.2,953.01
ifwd,22.8,36.7,16.0,13.1,12.2,12.2,31.3,7.32,55.0,12.2,54.9,17.0,54.9,29.2,110.0,29.3,7.34,27.5,110.0,7.34,9.2,7.34,110.0,12.3,7.4,55.0,27.7,15.8,7.39,7.36,7.37,22.0,955.2
ifwd,10.3,23.4,23.8,6.91,47.1,18.7,13.3,7.8,23.3,4.24,46.5,14.6,46.5,14.4,4.26,12.3,7.86,6.24,4.25,46.6,7.8,46.8,93.0,46.5,12.5,93.0,93.0,46.6,93.0,31.2,4.27,4.25,954.28
ifwd,6.09,7.65,13.1,30.6,10.2,18.4,4.13,7.59,23.4,22.9,45.4,45.3,90.5,45.3,90.6,45.2,45.4,10.2,6.08,8.07,15.1,7.59,45.3,12.8,90.5,45.2,12.9,6.59,4.15,6.05,90.6,40.8,953.69
ifwd,6.2,6.14,14.9,38.5,18.4,36.5,72.9,5.96,3.35,72.9,72.9,36.4,36.4,18.6,12.3,3.32,10.5,72.9,36.4,36.5,36.4,36.4,36.5,4.95,36.4,36.4,36.5,36.5,3.34,36.4,3.32,36.4,951.48
ifwd,24.3,16.4,95.9,19.5,10.8,10.8,10.7,10.7,48.0,4.39,4.58,4.38,4.61,95.9,6.43,4.37,13.7,20.4,9.29,47.9,19.2,10.7,16.7,13.8,48.0,47.9,47.9,48.0,95.7,47.9,48.0,47.9,954.8
ifwd,34.5,34.3,34.8,11.7,34.4,34.4,34.4,4.73,34.4,14.1,4.68,34.4,4.68,4.67,7.88,68.8,34.4,4.67,34.5,34.3,34.3,34.6,34.7,68.9,34.3,34.4,34.4,34.3,34.4,34.4,34.4,34.3,952.1
ifwd,19.1,7.84,10.4,12.3,12.0,46.7,93.4,6.29,18.7,13.4,7.85,18.7,6.55,23.5,93.3,7.84,46.7,31.2,46.9,15.7,46.7,93.2,46.7,4.26,46.7,46.6,4.27,6.29,46.7,15.6,46.7,12.9,954.99
MSNetviews,36.4,12.5,3.93,36.3,18.4,36.4,36.3,5.0,36.3,6.15,36.9,72.6,36.4,36.3,36.2,72.7,19.2,4.98,72.7,8.29,36.5,36.4,36.3,12.2,14.7,10.7,36.4,36.2,36.3,36.4,36.4,8.2,960.65
MSNetviews,10.3,18.6,13.1,23.2,46.2,4.23,18.5,46.1,45.9,10.3,10.4,10.3,46.2,13.2,7.49,15.5,10.2,7.7,15.4,10.3,46.0,7.7,4.2,13.2,46.0,45.9,46.0,91.9,46.2,91.8,91.7,45.7,959.4
MSNetviews,7.41,55.5,17.8,18.5,7.39,15.8,12.4,56.2,22.2,15.9,7.39,22.2,22.3,110.0,27.7,12.4,21.3,55.5,7.4,55.3,7.41,32.9,31.8,27.7,7.49,17.9,7.4,54.0,23.0,56.0,111.0,12.3,959.49
MSNetviews,6.79,5.47,7.54,6.76,9.0,6.75,20.4,3.73,7.06,26.7,40.8,40.3,40.2,6.78,8.99,6.79,80.3,16.3,40.2,40.2,40.1,6.78,80.4,40.4,40.2,80.3,8.96,40.3,40.3,40.1,40.2,80.3,959.4
MSNetviews,14.5,11.3,11.3,25.4,14.5,20.4,11.4,51.0,20.3,17.0,6.77,50.5,101.0,6.79,6.76,14.5,50.7,101.0,16.9,14.5,101.0,25.3,50.8,6.77,50.6,8.51,4.63,6.79,51.0,20.3,50.5,16.9,959.6
MSNetviews,6.52,15.7,8.65,4.29,5.25,15.8,25.3,11.3,33.7,3.56,38.9,15.7,7.18,38.6,8.57,39.2,11.2,15.5,38.5,38.5,77.0,38.6,77.1,38.6,38.6,38.5,77.1,38.6,38.6,38.8,38.6,38.5,960.52
MSNetviews,35.4,35.5,35.9,35.3,35.4,14.3,35.4,10.4,35.2,35.6,10.4,35.2,31.7,35.3,5.99,14.6,35.2,67.6,4.93,10.3,70.6,35.5,35.3,4.84,35.7,35.2,35.3,35.3,35.6,35.3,35.3,8.01,961.6
MSNetviews,10.3,4.15,4.2,30.2,6.1,10.2,17.9,23.1,45.6,7.68,19.4,23.2,90.6,45.4,45.4,10.2,4.16,45.8,18.2,6.13,38.9,44.7,23.3,18.2,45.6,45.4,45.4,45.4,45.9,48.2,45.4,45.5,959.82
